嚴重性	程式碼	說明	專案	檔案	行	歸併狀態
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	71	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	71	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyPropertyChangedForAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	72	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyPropertyChangedFor' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	72	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	75	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	75	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	78	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	78	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	81	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	81	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyPropertyChangedForAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	82	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyPropertyChangedFor' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	82	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	85	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	85	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	88	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	88	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyPropertyChangedForAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	89	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyPropertyChangedFor' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	89	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	101	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	101	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyPropertyChangedForAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	102	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyPropertyChangedFor' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	102	
錯誤 (作用中)	CS0103	名稱 'OnPropertyChanged' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	123	
錯誤 (作用中)	CS0103	名稱 'NamingFormat' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	129	
錯誤 (作用中)	CS0103	名稱 'VerificationStatus' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	131	
錯誤 (作用中)	CS0103	名稱 'SelectedTitle' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	146	
錯誤 (作用中)	CS0103	名稱 'SelectedTitle' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	146	
錯誤 (作用中)	CS0103	名稱 'AnalyzedTitle' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	146	
錯誤 (作用中)	CS0103	名稱 'Year' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	154	
錯誤 (作用中)	CS0103	名稱 'Year' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	154	
錯誤 (作用中)	CS0165	使用未指派的區域變數 'trimmedTitle'	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	156	
錯誤 (作用中)	CS0103	名稱 'Year' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	159	
錯誤 (作用中)	CS0119	'Type' 是 類型，其在指定內容中無效	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	164	
錯誤 (作用中)	CS0119	'Type' 是 類型，其在指定內容中無效	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	175	
錯誤 (作用中)	CS0103	名稱 'Year' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	176	
錯誤 (作用中)	CS0103	名稱 'AnalyzedTitle' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	222	
錯誤 (作用中)	CS0103	名稱 'SelectedTitle' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	223	
錯誤 (作用中)	CS0103	名稱 'OnPropertyChanged' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	231	
錯誤 (作用中)	CS0759	找不到用以實作部分方法 'AnimeFolderInfo.OnSelectedTitleChanged(string?)' 宣告的定義宣告	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\Models\AnimeFolderInfo.cs	234	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'CommunityToolkit' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	11	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'CommunityToolkit' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	12	
錯誤 (作用中)	CS0234	命名空間 'Microsoft' 中沒有類型或命名空間名稱 'Extensions' (是否遺漏了組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	17	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableObject' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	22	
錯誤 (作用中)	CS0103	名稱 'PreferredLanguage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	77	
錯誤 (作用中)	CS0103	名稱 'NamingFormat' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	78	
錯誤 (作用中)	CS0118	'ApiProvider' 是 類型，但卻當成 變數 使用	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	79	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	80	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	81	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	81	
錯誤 (作用中)	CS0119	'ApiProvider' 是 類型，其在指定內容中無效	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	82	
錯誤 (作用中)	CS0119	'ApiProvider' 是 類型，其在指定內容中無效	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	83	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	86	
